# Solar Term
小寒 Moderate cold
大寒 Severe cold
立春 Spring commences
雨水 Spring showers
驚蟄 Insects waken
春分 Vernal equinox
清明 Bright and clear
穀雨 Corn rain
立夏 Summer commences
小滿 Corn forms
芒種 Corn on ear
夏至 Summer solstice
小暑 Moderate heat
大暑 Great heat
立秋 Autumn commences
處暑 End of heat
白露 White dew
秋分 Autumnal equinox
寒露 Cold dew
霜降 Frost
立冬 Winter commences
小雪 Light snow
大雪 Heavy snow
冬至 Winter solstice

# Zodiac Emoji
♈
♉
♊
♋
♌
♍
♎
♏
♐
♑
♒
♓

# Zodiac Text
白羊 Aries
金牛 Taurus
雙子 Gemini
巨蟹 Cancer
獅子 Leo
處女/室女 Virgo
天秤 Libra
天蠍 Scorpio
射手/人馬 Sagittarius
摩羯/山羊 Capricorn
水瓶/寶瓶 Aquarius
雙魚 Pisces
